filename,oggetto,destinatari,doc
ATA Circolare inizio settembre 2023 .pdf,"Comunicazione orario settimanale dal  4 settembre 2023 inizio nuovo anno scolastico  orario 
articolato su 5 giorni lavorativi dal lunedì al venerdì .","              A tutto il personale A.T.A.  
  
 
 
"," Gent. mi,  
in attesa di assegnazione di tutto il personale ATA per il nuovo anno scolastico e di organizzare al meglio tutte 
le attività , si comunic a che l’orario di servizio dal 4 settembre  sarà articolato su 5 giorni lavorativi dal lunedì  
al venerdì per 7 ore e 12 minuti giornalieri . 
 
Nella  settimana precedente dal 28.08 al 2.09. 2023  sarà mantenuto l’orario su 6 giorni lavorativi.  
 
Si resta in attesa del personale supplente Collab. Scolastico per definire il giorno di PT da assegnare a ciascun 
dipendente.  
In caso di mancata nomina del  personale necessario  ad assicurare il normale funzionamento si procederà 
con accordo tra le parti , rotazione ed in ultimo al sorteggio . 
 
 Si coglie l’occasione per augurare a tutti voi un buon  inizio di anno scolastico.  
        
 
f.to Dsga Maria Bersani  
"
Circ.01 Attività collegiali settembre.pdf,Convocazioni collegiali settembre 2023,"Ai docenti  
 
Alla Dsga  
Al personale Ata  
 
 
 
 
","I docenti sono convocati secondo il seguente calendario delle attività:  
 
 1 settembre : 
 Presa di servizio nuovi docenti  - Ore 9.00 – 10.00 (trasferiti, 
neonominati in ruolo) – i docenti interessati devono recarsi presso la 
segreteria per la presa di servizio.  
 COLLEGIO DEI DOCENTI - Ore 10.00  – 12.00  (seguirà c onvocazione  con 
o.d.g. ) 
 
 11 settembre  
 COLLEGI DI INDIRIZZO *  
 Ore 08.30 - 10.30 Collegio indirizzo Linguistico  
 Ore 10.30 - 12.30 Collegio indirizzo Scienze Umane/Ec. Soc  
O.d.g.:  
1. Disponibilità per la direzione dell’indirizzo  
2. Programmazione attività progettuali  
3. Gestione pagina indirizzo sul sito  
4. Attività di orientamento  in entrata : propo ste 
 
 CONSIGLI CLASSI PRIME - ore 14.00 - 17.00  (seguirà circolare)  
 
 12 settembre  
 CONSIGLIO DI PRESIDENZA Ore 8.00 – 9.00 
 
 DIPARTIMENTI DI MATERIA  - Ore 09.00 - 12.00  
O.d.g.:  
1. Individuazione direttore/i di dipartimento ed eventuale passaggio di 
consegne  
2. Accoglienza nuovi colleghi e informativa percorsi  
3. Attività curricolari: programmi e griglie di valutazione  
4. Attività progettuali   
 
 13 settembre: inizio attività didattiche  
 
 14 settembre  
COLLEGI DI INDIRIZZO *  
 Ore 14.30 - 16.30 Collegio indirizzo Scientifico /S.A.  
 Ore 16.30 - 18.30 Collegio indirizzo Classico  
O.d.g.:  
1. Disponibilità per la direzione dell’indirizzo  
2. Programmazione attività progettuali  
3. Gestione pagina indirizzo sul sito  
4. Attività di orientamento: propo ste per materiali da utilizzare  
  
*N.B .: i docenti con classi appartenenti a più di due indirizzi partecipano a due 
collegi degli indirizzi in cui sono impegnati con un maggior numero di ore. In 
attesa delle nomine per l’a.s. 2023-24, i Collegi di indirizzo saranno 
inizialmente presieduti dai seguenti docenti, su incarico del DS:  
Scientifico/Scientifico S.A.  Turata e Pagin   
Classico  Girelli  e Mirandola  
Linguistico  Fortuna - Ballerini  
Sc. Umane/ S c. Umane Ec.  Soc. Colesbi  
 
 
 20/21 settembre  dalle ore 14.15 - Consigli delle classi con alunni con Bes  
(seguirà circolare)  
  
 27 settembre  - Ore 14.30 – 16.30 - Collegio docenti  (seguirà convocazione  
con o.d.g. ) 
 
 
 
  
IL DIRIGENTE SCOLASTICO  
    Prof. Marco Squarzoni  
      
     
 "
Circ.02 convocazione CD 1 settembre 23 .pdf,convocazione Collegio Docenti,"- A tutti i Docenti  
- Al Personale ATA  
 
 
","Il Collegio dei docenti è convocato per il giorno 1 settembre 2023  alle ore 10.00 
presso  l’aula magna con il seguente o.d.g.:  
1. Approva zione verbale seduta precedente  (allegato 1)  
2. Comunicazioni del Dirigente scolastico  
 Organizzazione general e a.s. 2023-24 
- Piano offerta formativa: aggiornamento e integrazioni  
- Attività di accoglienza inizio a.s.  
- Predisposizione d ei Pdp 
- Pcto: proposte operative  
- Educazione Civica  
- Tutor scolastico  
 Attività collegiali mese di settembre  
3. Criteri generali utilizz o organico autonomia – delibera  (allegato 2)  
 
La riunione sarà verbalizzata da lla prof.ssa Boschini.   
 
        IL DIRIGENTE SCOLASTICO  
        Marco Squarzoni   
  
Allegato 1  
VERBALE COLLEGIO DEI DOCENTI N.  8  
A.S. 2022 -2023 
 
Oggi 16 giugno 2023 alle ore 14.00 si riunisce, il Collegio Docenti del Liceo Medi di 
Villafranca di Verona; presiede il Dirigente Scolastico prof. Marco Squarzoni; funge da 
segretaria la prof.ssa Boschini Anna.  
Sono assenti i docenti aventi diritto (foglio firme in allegato al presente verbale ). 
Il Dirigente Scolastico, constatata la presenza del numero legale, dichiara validamente 
costituito il Collegio Docenti e si procede quindi con la discussione dei punti all’o.d.g:  
1. Approvazione verbale seduta precedente (allegato1)  
2. Comunicazioni del dirigente  
3. Relazioni Funzioni strumentali del Ptof: (allegato2)  
a. Direttori di Indirizzo  
b. Orientamento: in entrata – in uscita - riorientamento  
c. Studenti: assemblee studentesche e formazione – Salute e prevenzione – alunni 
stranieri – alunni con Bes  
d. valutazione di sistema  
4. Piano annuale per l’inclusione (allegato3)  
5. Criteri orario giornaliero delle lezioni a.s. 2023 -2024 
 
 
Punto1 (allegato 1)  
Il dirigente pone in approvazione il verbale della seduta collegiale del 15 maggio 2023 
che viene approvato all’unanimità . 
 
PUNTO 2  
Il Dirigente scolastico con il supporto di alcune slide procede con le seguenti 
comunicazioni:  
a) Corsi di recupero: dalle pri me rilevazioni i corsi di recupero saranno svolti per le 
discipline di latino, inglese, matematica e fisica indicativamente dal 26 giugno al 
10/12 luglio.; sono in corso le iscrizioni per gli studenti e studentesse che 
intendano frequentare le lezioni di r ecupero e dalle adesioni sarà definito il piano 
dei corsi specifici.  
b) Il comitato di valutazione si riunirà nella settimana dal 3 al 7 luglio;  
c) Per i docenti non impegnati negli gli esami di stato sarà predisposto un piano di 
presenza e sorveglianza durante le prove d’esame di maturità.  
d) Gli esami di sospensione si svolgeranno dal 28 al 31 agosto e gli scrutini 
avverranno entro il 2 settembre 2023.  
e) Il primo collegio docenti dell’a.s. 2023 -2024 sarà in Aula Magna il 1^ settembre 
2023.  
f) La commissione orario a.s.  2023-2024 sarà formata dalla Vicepreside prof. Lestingi 
e dalla prof. Rossi.  
 
Punto 3 - Relazione Funzioni strumentali del Ptof. (allegato 2)  
Il Dirigente invita a relazionare i docenti referenti delle diverse funzioni strumentali:  a. Direttori di Indirizzo  
b. Orientamento: in entrata – in uscita - riorientamento  
c. Studenti: assemblee studentesche e formazione – Salute e prevenzione – alunni 
stranieri – alunni con Bes  
d. valutazione di sistema  
 
A seguito di un’osservazione sui compensi avanzata dal prof. Zuccher i nterviene la 
prof.ssa Roveroni , rappresentante RSU d’istituto , che sottolinea come tutte le funzioni 
strumentali siano oggetto di contrattazione sindacale ed invita tutti i docenti ad una 
maggior partecipazione alle assemblee sindacali d’istituto.  
 
Il Dirigent e invita i colleghi referenti di altre aree progettuali ad intervenire per 
condividere con il collegio il lavoro svolto.  
Al termine delle relazioni sopracitate intervengono le prof.sse De Tullio e Sbrozzeri 
relativamente al PCTO e Educazione Civica.  
Il Dirigente ringrazia tutti i docenti per la restituzione del lavoro svolto e sottolinea che 
assieme alle rilevazioni del percorso effettuato è stato molto importante fare emergere 
il senso dell’azione intrinseca al progetto stesso perché diventa il punto di pa rtenza per 
il lavoro futuro.  
Il Dirigente precisa che tutto il lavoro svolto dalle docenti referenti del PCTO e Ed. Civica 
sarà parte integrante delle programmazioni secondo le indicazioni ministeriali future.  
Terminate tutte le relazioni , che verranno all egate al presente verbale,  il Dirigent e chiede 
al collegio la votazione delle funzioni strumentali: approvazione all’unanimità.  
 
 Punto 4 – Piano annuale per l’inclusione ( allegato 3).  
Il dirigente presenta il piano annuale per l’inclusione , allegato al p resente verbale,  che 
viene approvato all’unanim ità 
 
Punto 5 – Criteri orario giornaliero delle lezioni a.s. 2023 -2024.  
Il Dirigente riferisce che dopo gli ultimi incontri in Provincia con il Direttivo dell’ATV 
saranno garantiti i trasporti per “la settiman a corta” che entrerà in vigore per l’a.s. 2023 -
2024. Propone quindi che l’orario delle lezioni sia organizzato preferibilmente a blocchi 
di due ore da 55’ per tutte le discipline che hanno un orario settimanale superiore alle 
due ore. con due intervalli al la seconda e quarta ora . Per le discipline con orario 
settimanale di due ore si terrà conto delle eventuali richieste dei docenti.  
Il collegio approva a maggioranza, nessun contrario, astenuti 7.  
 
La seduta è tolta alle ore 12.00  
 
                    Il Dirigente       La segretaria  
            Prof. Marco Squarzoni        prof.ssa Anna Boschini    
Allegato 2 
 
CRITERI GENERALI DI UTILIZZO  
DELL’ORGANICO DELL’AUTONOMIA  
 
 
Note Comuni  
 
 I Docenti presteranno il loro orario di servizio secondo il prospetto orario loro consegnato 
per le ore di lezione frontale, mentre per le attività progettuali e/o di recupero le ore 
potranno essere collocate in orario antimeridiano o pomeridiano  per lo sv olgimento del 
progetto o attività di sportello/recupero, previo accordo con il Dirigente ed in modo 
coerente con le esigenze funzionali  
 Nelle ore in cui i Docenti saranno eventualmente utilizzati in attività di sostituzione nelle 
classi, faranno regolarmen te lezione  (ciascuno per la disciplina di propria competenza) e/o 
attività di recupero/sostegno/potenziamento .  
 In ogni caso è necessario firmare sempre, anche  per le ore di attività progettuale , la 
presenza attraverso il registro elettronico entrando nell o spazio “le mie classi” e sul fondo 
pagina aprendo alla voce “Registro altre attività”.  
Questo vale, anche nel caso di eventuale compresenza . Analoga situazione nel caso in cui 
si prevedano presenze in classe contemporanee di più docenti per alcune specif iche 
attività/progetti.  
 I docenti impegnati per le disposizioni e/o per le attività progettuali e di recupero dovranno 
collaborare con la presidenza per modulare diversamente i loro impegni orari qualora una 
diversa esigenza di gestione (sostituzioni) o didattica o progettuale em ergesse. Per questo 
motivo si richiede disponibilità alla flessibilità nella possibile diversa articolazione degli 
impegni sotto riportati nel corso dell’anno scolastico.  
 I docenti impegnati in ore di sportello , qualora le ore non venissero effettuate  per 
mancanza di prenotazione lo comunicheranno tempestivamente alla vicepresidenza, si 
asterranno dalla presenza nella ora fissata ma dovranno recuperarla concordando la 
modalità e la scansione con la vicepresidenza (o in un’altra ora di sportello o in un’ora a 
disposizione a recupero dell’ora non svolta).  
 
 I Docenti saranno principalmente utilizzati in corso d’anno, ciascuno per le 
specifiche competenze in alcune delle seguenti attività, tenendo delle necessità 
dell’Istituto previste dal PTOF e dal PDM secondo  quanto previsto dall’art. 1, 
commi 7 e 85 della legge 107/15:  
 Sostituzione colleghi assenti  
 Supporto organizzativo/gestionale alla Dirigenza  per attività funzionali ai progetti e alle 
iniziative dell’Istituto, secondo quanto previsto dalla legge 107/15, a rt. 1, comma 83;  
 Supporto alla redazione/gestione di eventuali progetti  proposti dal MIUR e/o da altre 
Istituzioni Pubbliche, anche in forma di rete di scuole;  
 Supporto alla realizzazione di iniziative di formazione  rivolte agli studenti e al personale 
della scuola;  
 Collaborazione con il DS per la realizzazione di attività in alternanza scuola -lavoro, ai 
sensi di quanto previsto in merito dalla legge 107/15;  
 Collaborazione in classe con i docenti curricolari di per la progettazione e la 
realizzazione di Uni tà di apprendimento multidisciplinari ed interdisciplinari,  anche 
attraverso l’organizzazione per gruppi di allievi differenziati per metodi e processi di 
apprendimento e alle attività connesse con forme didattica laboratoriale e/o 
innovativa;   Supporto e c ollaborazione  ai processi di innovazione e di formazione del personale 
connessi con il PNSD  (animatore digitale, team dell’innovazione tecnologica, 
formazione docenti/studenti sulle ICT);  
 Attività ed iniziative rivolte alle famiglie degli studenti ; 
 Contrib uto e collaborazione con i rispettivi docenti dei dipartimenti disciplinari per lo 
sviluppo di forme di didattica innovativa e laboratoriale  (preparazione di argomenti 
mediante l’utilizzo delle TIC/LIM, preparazione ed utilizzo di moduli didattici specific i 
per allievi DSA/H, programmazione CLIL per le classi interessate, recupero linguistico 
e supporto per allievi stranieri…).  
 Supporto agli allievi con disabilità, DSA BES  – Progetti per la riduzione della dispersione 
scolastica.  
 Attività di orientamento  (in entrata e in uscita) e di riorientamento  
 Forme di prevenzione, interventi ed iniziative di formazione a favore dell’educazione 
consapevole all’uso della rete Internet e delle tecnologie ; 
 Organizzazione e Supporto alle classi Seconde e Quinte per le Pr ove Invalsi ; 
 Supporto ai processi di valutazione dell’Istituto  (R.A.V., sistema SNV, forme di 
autovalutazione e di rendicontazione sociale…);  
 Progetti ed iniziative specifiche definite nel PTOF/PDM  
 
I coordinatori di classe comunicheranno alla vicepresidenza le situazioni che necessitano 
di particolari forme di recupero  e/o altre attività che, nell’ambito di una valutazione in itinere dei 
processi di apprendimento degli allievi, di monitoraggio della programmazione didattica e di 
particolari esigenze organizzative, gestionali e funzionali dell’Istituto, si rendessero nec essarie nel 
tempo, compresi corsi di recupero/sportelli help in orario pomeridiano e durante il periodo estivo.  
Verrà data comunque precedenza alle attività collegate con il piano di miglioramento.  
 "
Circ.03 Integrazione sostituzioni scrutini.pdf,Integrazione  sostituzione docenti per scrutini finali  31 agosto 2023,"A proff. Fasoli Mirandola, 
Pachera, Lestingi  
p.c. Zaffuto  
                                                                      
 
","Si comunica un’integrazione al prospetto sostituzione scrutini finali agosto.  
 
Docente assente  Materia  Classe  Correz
ione 
prove  Sostituto  Ora 
scrutinio  
TURRA STEFANIA  INGLESE  3B -- LESTINGI MARIA CRISTINA  09.10  
AMBROSI FRANCESCA  INGLESE  4B -- LESTINGI MARIA CRISTINA  09.30  
RIGGI ANDREA  ITA-STOGEO  2G -- FASOLI PAOLA  11.00  
RIGGI ANDREA  STOGEO  1H1M  -- MIRANDOLA ILEO  12.30  
RIGGI ANDREA  ITA-STOGEO  2L -- PACHERA SILVIA  16.20  
 
La presente vale come nomina.  
        Il Dirigente Scolastico  
        Marco Squarzoni  
"
Circ.04 borsa di studio Fiorentino.pdf,borsa di studio Giovanni Fiorentino,"Ai coordinatori di classe  a.s. 22/23  
 
 
","In merito alla borsa di studio in memoria del Dirigente Scolastico Giovanni 
Fiorentino, istituita fin dal’’a.s. 2011 -12 e da destinare ad uno/a studente/ssa con 
profitto scolastico  meritevole e in situazioni economiche svantaggiate , vi 
pregherei di segnalare, scrivendo al mio indirizzo mail preside@liceomedivr.edu.it , 
i nominativi di alunni che rispondano ai requisiti indic ati facendo riferimento, 
ovviamente, all’a.s. 2022 -2023. 
Nel caso in cui i coordinatori dello scorso anno scolastico non siano più presenti nel 
nostro liceo, la presente richiesta si intende rivolta agli altri componenti del consiglio 
di classe.  
Un sentito  ringra ziamento per la collaborazione.  
  
              
        IL DIRIGENTE SCOLASTICO  
             Marco Squarzoni   
"
Circ.05 - Inizio anno scolastico 2023-24.pdf,primo giorno di scuola e ubicazione classi A.S. 2023 -24,"A tutte le classi  
         Alle famiglie  
         Ai docenti  
         Al personale ATA  
 
 
 
          
","Si comunicano l’ora di inizio e fine lezioni del primo giorno di scuola e , in allegato, 
l’ubicazione delle classi per l’A.S. 2023-24. 
 
CLASSI PRIME  
Il primo giorno di scuola, mercoledì  13 settembre , le lezioni per le classi prime 
inizieranno alle ore 8.50 e termineranno alle 11.45. 
Alle 8.5 0 tutti gli studenti delle classi prime , comprese quelle ubicate in via Marconi, 
si recheranno direttamente nell’aula magna  della sede centrale , dove saranno 
accolti dal Dirigente Scolastico e dal coordinatore di classe  (o docente delegato). 
Raggiungeranno poi le rispettive aule con il proprio coordinatore o un docente  della 
classe . Le classi 1I e 1L  si sposteranno, accompagnate da un docente, nella sede 
staccata di Via Marconi, dove termineranno la mattinata.  
Al termine delle lezioni, alle ore 11. 45, saranno liberi di tornare autonomamente 
alle proprie abitazioni.  
L’orario del primo giorno di scuola verrà pubblicato nei prossi mi giorni sul registro 
elettronico.  L’orario provvisorio delle lezioni in vigore dal 13 settembre verrà 
comunicato  il primo giorno di scuola e pubblicato sul registro elet tronico.  
Il 14 e il 15 settembre  le lezioni inizieranno regolarmente alle ore 7.55 e 
terminer anno alle 12.50  (non ci saranno  la 6^  e la 7^  ora).  
 
CLASSI SECONDE – TERZE – QUARTE  - QUINTE  
Il primo giorno di scuola le lezioni inizieranno alle 7.55  e termineranno alle ore 11. 45.        
L’orario del primo giorno di scuola verrà pubblicato nei prossimi giorni. L’orario 
provvisorio delle lezioni verrà dettato in classe il primo giorno di scuola e pubblicato 
successivamente sul registro elettronico.  
Il 14 e il 15 settembre  le lezioni inizieranno regolarmente alle ore 7.55 e 
termineranno alle 12.50  (non ci saranno la ses ta e la settima ora). 
 
PER TUTTE LE CLASSI  
A partire da quest’anno scolastico l e lezioni si svolgeranno dal lunedì al venerdì con il 
seguente orario giornaliero  
 dalle alle 
1° ora 7.55 8.50 
2° ora  8.50 9.45 
Intervallo  9.45 9.55 
3° ora  9.55 10.50  
4° ora  10.50  11.45  
Intervallo  11.45  11.55  
5° ora  11.55  12.50  
6° ora  12.50  13.45  
7° ora  13.45  14.40  
 
 
A tutti l’augurio di un buon anno scolastico.  
 
 
   Il Dirigente Scolastico  
      Marco Squarzoni  
 
 
 
 "
Circ.11 - Orario 13 settembre classi prime.pdf,ORARIO DEL PRIMO GIORNO DI SCUOLA,"                                                                          Agli studenti delle classi PRIME e loro famiglie  
                                                                          Ai docenti  
                                                                          Al personale ATA  
  
","    Si pubblica di seguito  l’orario del primo giorno di scuola, mercoledì 13  settembre.  
    Come già comunicato con precedente circolare (circ. n. 5)  TUTTI gli studenti delle classi 
prime entreranno alle ore 8.55 e si recheranno in aula magna , dove saranno accolti dal 
Dirigente Sco lastico e dal coordinatore di classe, con cui  raggiungeranno poi le rispettive aule . 
     Al termine delle lezioni, alle ore 11.4 5, saranno liberi di tornare autonomamente alle proprie 
abitazioni.  
 
 
Il Dirigente Scolastico  
Prof. Marco Squarzoni  
 
 
 
 
 
 
 
LICEO SCIENTIFICO STATALE ""ENRICO MEDI"" - VILLAFRANCA DI VERONA  
 MERCOLEDI’ 13 SETTEMBRE  
 1^ ORA  2^ ORA  3^ ORA  4^ ORA  
1A  ITALIANO  
D’ARCAMO  LATINO  
D'ARCAMO  MATEMATICA 
RADOGNA  
1B  MATEMATICA  
PAGIN  ITALIANO  
BIANCHERA  MATEMATICA  
PAGIN  
1D  SC. MOTORIE  
STUANI  SPAGNOLO  
GIULIVO  SPAGNOLO CONV 
GIULIVO -MEDINA  
1E  SPAGNOLO  
RODRIGUEZ  SPAGNOLO  
RODRIGUEZ  INGLESE  
FORTUNA  
1F  ITALIANO  
DI LEGGE  INGLESE  
ZAFFUTO  SCIENZE  
VOLPE  
1G  ITALIANO  
GIACOMI  SCIENZE  
PERUSI  ITALIANO  
GIACOMI  
1H  SC. UMANE  
CALANCHI  INGLESE  
CALIARI  IRC 
COLESBI  
1I  ITALIANO  
POLI  LATINO  
POLI  DIRITTO  
GUALTIERI  
1L  DIRITTO  
DE TULLIO  SC. UMANE  
TIBERIO  SC. UMANE  
TIBERIO  
 "
Circ.12 - Orario 13 settembre classi 2^-3^-4^-5^.pdf,ORARIO DEL PRIMO GIORNO DI SCUOLA,"                                                         Agli studenti delle classi SECONDE, TERZE,  
 QUARTE, QUINTE  e loro famiglie  
 Ai docenti  
 Al personale ATA  
  
","    Si pubblica l’orario del primo giorno di scuola, mercoledì 13  settembre.  
    Come già comunicato con precedente circolare (circ. n. 5)  il primo giorno di scuola le 
lezioni inizieranno alle 7.55 e termineranno alle 11.45.  
 
 
Il Dirigente Scolastic  
Prof. Marco Squarzoni  
 
 
 
 
 
 
 
 
 
 
LICEO SCIENTIFICO STATALE ""ENRICO MEDI"" - VILLAFRANCA DI VERONA  
ORARIO 13 SETTEMBRE 2023  
 
  MERCOLEDI’ 13 SETTEMBRE   
1^ ora   2^ ora  3^ ora  4^ ora  
2A ITALIANO  
ZUCCHER D  ITALIANO  
ZUCCHER D  SCIENZE  
VOLPE  MATEMATICA  
SCIPIONI  
2B SC. MOTO RIE 
CINQUETTI  SC. MOTORIE  
CINQUETTI  LATINO  
FASOLI  LATINO  
FASOLI  
2D SCIENZE  
GALEAZZI  INGLESE  
FORTUNA  MATEMATICA  
RIZZI  TEDESCO  
GRANDI  
2E ITALIANO  
AURICEDRI  ITALIANO  
AURICEDRI  TEDESCO  
COSTA  TEDESCO  
COSTA  
2F SCIENZE  
GROSSO  SCIENZE  
GROSSO  SC. MOTORIE  
BOSCHINI  SC. MOTORIE  
BOSCHINI  
2G SC. MOTORIE  
BARALDO  SC. MOTORIE  
BARALDO  MATEMATICA  
PAGIN  INGLESE  
INCARNATO  
2H DIRITTO  
SBROZZERI  SCIENZE  
GALEAZZI  SCIENZE GALEAZZI  INGLESE  
CALIARI  
2H1 SCIENZE  
LUSSIGNOLI  
2M MATEMATICA  
RIZZI  
2M DIRITTO  
TENERANI  STOGEO  
TONELLOTTO  
2M 
2M SCIENZE  
LUSSIGNOLI  
2H1 MATEMATICA  
RIZZI  
2H1 INGLESE  
ROINA  STOGEO  
TONELLOTTO  
2H1 
2I STOGEO  
COMPARIN  STOGEO  
COMPARIN  SCIENZE  
MEZZANOTTE  ITALIANO  
POLI  
2L INGLESE  
ROMANO  MATEMATICA  
RIGGI  MATEMATICA  
RIGGI  TEDESCO  
BALLERINI   MERCOLEDI’ 13 SETTEMBRE  
 1^ ora  2^ ora  3^ ora  4^ ora  
3A ITALIANO  
GIACOMI  SCIENZE  
NOGARA  MATEMATICA/FISICA  
SCIMIA  MATEMATICA/FISICA  
SCIMIA  
3B INGLESE  
ZAFFUTO  INGLESE  
ZAFFUTO  SC. MOTORIE  
BARALDO  SC. MOTORIE  
BARALDO  
3C ITALIANO  
BIANCHERA  
3M FILOSOFIA  
GIRELLI  
3M SCIENZE  
GROSSO  INGLESE  
ZAFFUTO  
3M ITALIANO  
BIANCHERA  
3C FILOSOFIA  
GIRELLI  
3C ARTE  
ANDREANO'  ARTE  
ANDREANO'  
3D SPAGNOLO  
RODRIGUEZ  INGLESE  
INCARNATO  SC. MOTORIE  
STUANI  SC. MOTORIE  
STUANI  
3F ITALIANO  
GRASSO D  ITALIANO  
GRASSO D  FILOS -STORIA  
BISCEGLIE  SCIENZE  
TURRINA  
3G FILOS -STORIA  
BISCEGLIE  FILOS -STORIA  
BISCEGLIE  INGLESE  
ROMANO  INGLESE  
ROMANO  
3H LATINO  
LONARDI  LATINO  
LONARDI  SC. UMANE  
DELLA VELLA  SCIENZE  
GALEAZZI  
3I SC. UMANE  
DELLA VELLA  SC. UMANE  
DELLA VELLA  INGLESE  
INCARNATO  IRC 
CASSINI  
3L SC. MOTORIE  
IOFFREDO  SC. MOTORIE  
IOFFREDO  FILOS -STORIA  
GARZON  FILOS -STORIA  
GARZON  
 
 
 
 
 
 LICEO SCIENTIFICO STATALE ""ENRICO MEDI"" - VILLAFRANCA DI VERONA  
ORARIO 13 SETTEMBRE 2023  
 
 MERCOLEDI’ 13 SETTEMBRE  
1^ ORA   2^ ORA  3^ ORA  4^ ORA  
4A MATEMATICA/FISICA  
TURATA  MATE/FISICA  
TURATA  LATINO  
ZOCCATELLI  LATINO  
ZOCCATELLI  
4B ITALIANO  
FASOLI  ITALIANO  
FASOLI  MATE/FISICA  
VENTURELLI  MATE/FISICA  
VENTURELLI  
4D FILOS -STORIA  
FILIPOZZI  FILOS -STORIA  
FILIPOZZI  MATE/FISICA  
FARINA  MATE/FISICA  
FARINA  
4E ITALIANO  
TOMASI  ITALIANO  
TOMASI  MATE/FISICA  
ADAMI A  MATE/FISICA  
ADAMI A  
4F INFORMATICA  
 
PEZZINI  INFORMATICA  
PEZZINI  MATE/FISICA  
RINALDI  SCIENZE  
LUSSIGNOLI  
4G MATE/FISICA  
ZUCCHER S  MATE/FISICA  
ZUCCHER S  DISEGNO  
LODI  FILOSOFIA  
MARCONCINI  
4H MATE/FISICA  
SCIPIONI  MATE/FISICA  
SCIPIONI  DISEGNO  
GRASSO R  DISEGNO  
GRASSO R  
4I DISEGNO  
GRASSO R  DISEGNO  
GRASSO R  ITALIANO  
GIALLOMBARDO  ITALIANO  
GIALLOMBARDO  
4L DISEGNO  
LODI  INGLESE  
GATTUSO  MATE/FISICA  
RADOGNA  SC. UMANE  
DELLA VELLA  
4M ITALIANO  
D'ARCAMO  ARTE  
DEL FABBRO  FILOS -STORIA  
GIRELLI  FILOS -STORIA  
GIRELLI  
 LICEO SCIENTIFICO STATALE ""ENRICO MEDI"" - VILLAFRANCA DI VERONA  
ORARIO 13 SETTEMBRE 2023  
 
 MERCOLEDI’ 13 SETTEMBRE  
1^ ORA   2^ ORA  3^ ORA  4^ ORA  
5A FILOS -STORIA  
GARZON  FILOS -STORIA  
GARZON  LATINO  
RABBI  LATINO  
RABBI  
5B MATE/FISICA  
SCIMIA  MATE/FISICA  
SCIMIA  IRC 
COLESBI  SCIENZE  
PERUSI  
5C STORIA  
TRIBISONDA  
5G1 STORIA  
TRIBISONDA  
5G1 ITALIANO  
AURICEDRI  
G1 ITALIANO  
AURICEDRI  
G1 
5G1 STORIA  
TRIBISONDA  
5C STORIA  
TRIBISONDA  
5C ITALIANO  
AURICEDRI C  ITALIANO  
AURICEDRI C  
5D FILOS -STORIA  
ADAMI G  FILOS -STORIA  
ADAMI G  MATE/FISICA  
MONDINI  MATE/FISICA  
MONDINI  
5E FILOS -STORIA  
SANTI  FILOS -STORIA  
SANTI  INGLESE  
SIMONCELLI  DISEGNO  
DEL FABBRO  
5F MATE/FISICA  
MONDINI  MATE/FISICA  
MONDINI  FILOS -STORIA  
SCANDOLA  FILOS -STORIA  
SCANDOLA  
5G INGLESE  
INCARNATO  IRC 
COLESBI  MATE/FISICA  
ZUCCHER S  MATE/FISICA  
ZUCCHER S  
5H ITALIANO  
ZOCCATELLI  ITALIANO  
ZOCCATELLI  SC. UMANE  
CALANCHI  SC. UMANE  
CALANCHI  
5I MATE/FISICA  
ADAMI A  MATE/FISICA  
ADAMI A  FILOSOFIA  
SANTI  STORIA  
SANTI  
5L ARTE  
ANDREANO'  ARTE  
ANDREANO'  FILOS -STORIA  
FILIPOZZI  FISICA  
RINALDI  
5M GRECO  
TONELLOTTO  GRECO  
TONELLOTTO  SCIENZE  
NOGARA  INGLESE  
ROINA  
 "
Circ.13 - Orario docenti 13 settembre.pdf,orario 13 settembre,"                  AI DOCENTI  
                         Al personale ATA  
 
","       Si pubblica l’orario del primo giorno di scuola, che presenta numerose modifiche 
rispetto all’orario provvisorio in fase di pubblicazione (presumibilmente lunedì 11).  
   Sono collocate in orario alcune ore a disposizione (D e Ds per le disposizioni in sede 
staccata ). In questa fase le ore a disposizione saranno svolte dai docenti con 
potenziamento.  
      
 
 
 
 
                                                                        Il Dirigente Scolastico  
            Prof. Marco Squarzoni  
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
"
Circ.14 - Riunione collaboratori 2023 avvio anno scolastico.pdf,Riunione personale collaboratore scolastico  per avvio nuovo anno scolastico.,"  Ai collaboratori scolastici   
 
 
"," Le SS.LL. sono convocate martedì 12 settembre alle ore 11,00  presso la biblioteca  per la riunione 
di avvio  nuovo anno scolastico.  
 
O.D.G.:  
- proposta Piano attività personale ATA  
- orario  di servizio ; 
- assegnazione reparti ; 
- formazione.  
 
 
  
      f.to Dsga Maria Bersani  
"
